"file_name_list","speakers","visual_features","acoustic_features","lexical_features","emotion_labels","v_labels","a_labels","d_labels"
"Ses05F_impro03_F000","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F000.npy","9","2","1","2"
"Ses05F_impro03_F001","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F001.npy","9","2","1","2"
"Ses05F_impro03_F002","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F002.npy","9","2","1","2"
"Ses05F_impro03_F003","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F003.npy","9","2","2","2"
"Ses05F_impro03_F004","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F004.npy","9","2","2","2"
"Ses05F_impro03_F005","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F005.npy","9","2","2","2"
"Ses05F_impro03_F006","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F006.npy","5","2","2","2"
"Ses05F_impro03_F007","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F007.npy","9","2","1","2"
"Ses05F_impro03_F008","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F008.npy","9","2","2","2"
"Ses05F_impro03_F009","21","../features/IEMOCAP/visual_features_resnet152_cropped_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy","../features/IEMOCAP/acoustic_features_MFB_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy","../features/IEMOCAP/lexical_features_normalized/Session5/Ses05F_impro03/Ses05F_impro03_F009.npy","9","2","2","2"
